"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,84737,"Open Water",0,0,255,0,0,1,18845,0.5
"2",12,608,"Snow/Ice",159,161,240,0.623529,0.631373,0.941176,135,0
"3",13,8678,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,1930,0.1
"4",14,13709,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,3049,0.1
"5",15,746,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,166,0
"6",16,16869,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,3752,0.1
"7",17,183470,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,40803,1.1
"8",22,62532,"Developed-Low Intensity",255,122,143,1,0.478431,0.560784,13907,0.4
"9",23,34119,"Developed-Medium Intensity",253,44,79,0.992157,0.172549,0.309804,7588,0.2
"10",24,9123,"Developed-High Intensity",173,0,28,0.678431,0,0.109804,2029,0.1
"11",25,367405,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,81709,2.2
"12",31,111029,"Barren",191,191,191,0.74902,0.74902,0.74902,24692,0.7
"13",32,13197,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,2935,0.1
"14",63,265923,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,59140,1.6
"15",64,278587,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,61956,1.6
"16",65,990572,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,220298,5.8
"17",68,32029,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,7123,0.2
"18",100,45756,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,10176,0.3
"19",110,675964,"Tree Cover = 10%",204,255,153,0.8,1,0.6,150331,4
"20",111,132541,"Tree Cover = 11%",202,252,151,0.792157,0.988235,0.592157,29476,0.8
"21",112,134445,"Tree Cover = 12%",199,250,147,0.780392,0.980392,0.576471,29900,0.8
"22",113,125596,"Tree Cover = 13%",194,247,143,0.760784,0.968627,0.560784,27932,0.7
"23",114,111519,"Tree Cover = 14%",192,245,142,0.752941,0.960784,0.556863,24801,0.7
